strikePrice,expiryDate,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,CE.openInterest,CE.changeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,timestamp
18050,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18050.00,22.0,0.0,0.0,0.0,906.85,0.0,15750.0,9650.0,1400.0,1192.4,1350.0,1317.75,1432.0,-346.0,2546.0,42.07,1.75,-0.10000000000000009,95650.0,86650.0,50.0,1.3,2800.0,1.9,21-Dec-2021 15:30:00
18100,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18100.00,88.0,-5.0,38.0,0.0,1308.05,-257.25,19450.0,17550.0,400.0,1304.05,500.0,1314.7,19192.0,-4361.0,42716.0,42.64,1.5,-0.30000000000000004,356950.0,75300.0,1650.0,1.5,300.0,1.55,21-Dec-2021 15:30:00
18150,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18150.00,17.0,0.0,0.0,0.0,862.25,0.0,15200.0,14750.0,1350.0,1297.6,1300.0,1419.45,2458.0,-177.0,3480.0,42.85,1.2,-0.5,92600.0,77300.0,50.0,1.0,2700.0,1.8,21-Dec-2021 15:30:00
18200,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18200.00,424.0,-2.0,2.0,0.0,1350.0,-215.0,16150.0,15450.0,200.0,1399.2,450.0,1438.75,16983.0,-7717.0,38762.0,45.34,1.5,-0.19999999999999996,212850.0,81050.0,100.0,1.1,50.0,1.7,21-Dec-2021 15:30:00
18250,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18250.00,6.0,0.0,0.0,0.0,957.65,0.0,12250.0,12150.0,1100.0,1390.95,1100.0,1521.9,1239.0,-309.0,2517.0,46.1,1.35,-0.34999999999999987,100600.0,70550.0,2300.0,0.75,50.0,1.55,21-Dec-2021 15:30:00
18300,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18300.00,40.0,0.0,0.0,0.0,1666.55,0.0,14600.0,9250.0,500.0,1482.2,500.0,1540.35,6632.0,-9986.0,27732.0,46.08,1.05,-0.34999999999999987,231850.0,77500.0,50.0,1.05,1300.0,1.35,21-Dec-2021 15:30:00
18350,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18350.00,4.0,0.0,8.0,59.29,1575.0,272.0999999999999,12200.0,9150.0,1100.0,1497.35,800.0,1599.95,387.0,-28.0,2831.0,48.3,1.25,-0.30000000000000004,95000.0,76350.0,1000.0,1.0,50.0,1.4,21-Dec-2021 15:30:00
18400,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18400.00,21.0,-3.0,11.0,0.0,1616.0,-134.0,13450.0,10300.0,50.0,1547.05,900.0,1647.55,3758.0,-3159.0,19707.0,47.53,0.85,-0.6,262300.0,83700.0,100.0,0.8,50.0,1.35,21-Dec-2021 15:30:00
18450,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18450.00,1.0,0.0,0.0,0.0,1832.45,0.0,12200.0,12150.0,1100.0,1590.0,1100.0,1724.9,215.0,-209.0,3431.0,48.46,0.8,-0.6499999999999999,108000.0,79100.0,50.0,0.7,1800.0,0.8,21-Dec-2021 15:30:00
18500,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18500.00,292.0,-13.0,21.0,50.8,1720.0,-145.0,16850.0,19350.0,500.0,1698.2,500.0,1714.85,42644.0,-11620.0,53099.0,49.69,0.8,-0.5999999999999999,2139650.0,228400.0,5300.0,0.75,5400.0,0.8,21-Dec-2021 15:30:00
18550,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18550.00,5.0,0.0,0.0,0.0,1462.0,0.0,12250.0,12200.0,1100.0,1686.0,1100.0,1827.95,301.0,13.0,1880.0,51.24,0.85,-0.6,119750.0,78800.0,50.0,0.6,50.0,1.05,21-Dec-2021 15:30:00
18600,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18600.00,3.0,-1.0,1.0,66.99,1825.0,328.1500000000001,12250.0,9150.0,1100.0,1738.15,800.0,1875.75,1889.0,-1124.0,4438.0,51.04,0.65,-0.6,307800.0,79400.0,50.0,0.6,100.0,0.75,21-Dec-2021 15:30:00
18650,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18650.00,2.0,0.0,0.0,0.0,1352.65,0.0,12200.0,12150.0,1100.0,1782.85,1100.0,1929.45,308.0,-34.0,10163.0,49.84,0.4,-0.85,103600.0,67650.0,750.0,0.35,50.0,0.5,21-Dec-2021 15:30:00
18700,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18700.00,2.0,0.0,0.0,0.0,1387.3,0.09999999999990905,12200.0,9150.0,2100.0,1832.0,850.0,1977.7,1912.0,-161.0,3300.0,52.99,0.6,-0.5499999999999999,268250.0,78950.0,100.0,0.5,6050.0,0.6,21-Dec-2021 15:30:00
18750,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18750.00,3.0,0.0,0.0,0.0,2208.9,0.0,12250.0,12200.0,1100.0,1905.85,2100.0,2029.15,145.0,-26.0,6039.0,54.16,0.6,-0.7000000000000001,107600.0,74050.0,50.0,0.4,800.0,0.65,21-Dec-2021 15:30:00
18800,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18800.00,4.0,0.0,0.0,0.0,2102.3,0.0,12400.0,12400.0,1100.0,1954.55,1350.0,2073.6,875.0,-154.0,3023.0,54.36,0.5,-0.6499999999999999,256700.0,76050.0,1200.0,0.45,2050.0,0.5,21-Dec-2021 15:30:00
18850,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18850.00,1.0,0.0,0.0,0.0,1555.05,0.0,12250.0,12200.0,1100.0,2003.3,1100.0,2129.4,65.0,-56.0,1455.0,52.98,0.3,-0.8999999999999999,124350.0,74450.0,3550.0,0.3,50.0,0.35,21-Dec-2021 15:30:00
18900,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18900.00,2.0,0.0,0.0,0.0,2382.8,0.0,12200.0,12150.0,1100.0,2025.05,1100.0,2184.15,716.0,-167.0,1539.0,56.09,0.45,-0.7,276150.0,97600.0,11700.0,0.35,4800.0,0.5,21-Dec-2021 15:30:00
18950,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18950.00,2.0,1.0,2.0,107.53,2207.75,556.0,12200.0,12150.0,1100.0,2081.5,1100.0,2234.5,131.0,8.0,233.0,56.59,0.4,-0.7000000000000001,98800.0,71400.0,1000.0,0.35,500.0,0.45,21-Dec-2021 15:30:00
